DATE,RATING,REVIEW_TITLE,DESCRIPTION1,DESCRIPTION2,LINK
2020-02-26 0:00:00,4,"Really sweet, more coconut than almond flavor","I got this for my two oldest girls who are athletes and can polish off a bag of granola before I'm finished putting the tear off top in the trash.. The first thing they noted is that this granola is really sweet. They limit their sugar (I know, 12 and 13 and they don't like sugar? SMH) so they both ate small dishes and then sat it aside rather than cleaning it off like they normally would. It is crunchy without being too hard, a nice crunch without hurting their teeth. No big chunks that you have to break up before you can eat it. They felt the flavor balance was off, that it was more coconut than almond and would have liked the coconut to be toned down more.. It has all natural ingredients so my athletes like that they're eating clean, but they really wish there were less sugar in it. They've been using it as a bit of a treat, but a bag has lasted almost a week, which is unheard of in this house . . .","They felt the flavor balance was off, that it was more coconut than almond and would have liked the coconut to be toned down more.",https://www.amazon.com/gp/customer-reviews/RZYQE9SD8FAQ3?ASIN=B07RXBFNHW
2020-08-14 0:00:00,5,kids loved them,bought a few for my kids. I didn't taste them but they said they were good,I didn't taste them but they said they were good.,https://www.amazon.com/gp/customer-reviews/R2145VS08IMEJ3?ASIN=B00BWXTPWI
2020-04-27 0:00:00,5,Absolutely the best.,"The is the best buckwheat flour I have ever had. It’s so fluffy and light, love it!",The is the best buckwheat flour I have ever had.,https://www.amazon.com/gp/customer-reviews/R1XRX3JPJGKAQ4?ASIN=B01EIQROUA
2020-02-10 0:00:00,5,Scrumptious at Tea Time,"Danger: these rolled cookies are so delicious! I used them as bribes to get my granddaughters to do my every bidding while I sat around recovering from a stroke.. but I myself enjoyed each delicious scrolled up roll! i felt like the Queen Mum herself as I enjoyed them with a cup of tea and yes, lifted pinky. The hazelnut chocolate are my personal stash...",Scrumptious at Tea Time.,https://www.amazon.com/gp/customer-reviews/RZU2LJEGG6I88?ASIN=B003A9Q7E6
2020-12-20 0:00:00,5,DELICIOUS and ADDICCTIVE,"I could not stop eating these. Love both the pancake and butter and salt flavors. As advertised: airy, and delicious!",Love both the pancake and butter and salt flavors.,https://www.amazon.com/gp/customer-reviews/R101Q8LXPEQ3G4?ASIN=B0861RSWF6
2021-05-07 0:00:00,5,Was the taste authentic,"I loved it! Enjoyed my coffee this morning. I was hesitant it wouldn’t be the right one, but it was and tasted delicious.","I was hesitant it wouldn't be the right one, but it was and tasted delicious.",https://www.amazon.com/gp/customer-reviews/R29TCLXVI43J93?ASIN=B000RYDOJS
2020-09-02 0:00:00,5,Tastes like real meat imo,"I was suspicious because I'm used to how Beyond burgers come out the package uncooked and looking ""raw"". These came out dark brown. 4 in the pack. They tasted very much like a burger. I liked the texture. I slow cooked them and BBQ sauce in the oven and straight up fried them on the stovetop. I bet they'd taste great on the grill. Honestly, you could probably fool a child that this was real meat. If you were looking for something vedgie tasting, this isn't for you. This is definitely just a genuine plain and simple imitation of a beef burger. They have a thin thickness, but not McDonalds $1 cheeseburger thin. It's pretty decent.",It's pretty decent.,https://www.amazon.com/gp/customer-reviews/RJN3AIGITRX3B?ASIN=B00LXV78GE
2019-12-13 0:00:00,4,Awesome product,Very good product tasty,Very good product tasty.,https://www.amazon.com/gp/customer-reviews/R1RKJSXVDEOGHF?ASIN=B00K3I3JFW
2021-04-20 0:00:00,5,The flavor is a combination of sweet and sharp orange,"I like the combination of sweet and sharp. I use it on bread or toast for breakfast and sometimes for lunch.. It seems to """"sparkle"""" my taste buds.",The flavor is a combination of sweet and sharp orange.,https://www.amazon.com/gp/customer-reviews/R32CVZHOQLG9F3?ASIN=B01ALHIVQQ
2021-09-18 0:00:00,3,"Not sure what happened, but quality has gone downhill.","I used to love these buffalo mac n cheese bowls, but Banquet has apparently messed with the recipe. Surprise surprise. Previously the pieces of chicken were larger, the noodles were also larger and the sauce was thick.. Now, the chicken and noodles are smaller and the sauce is way too runny. The sauce literally drips off the fork now. I bought two this time. Hopefully this one meal was a one-off and just inferior. So the second will be the determinant as to if I purchase in future. If it too is runny, I will be looking for something else to replace it.",I bought two this time.,https://www.amazon.com/gp/customer-reviews/R1E6IX6UM8848A?ASIN=B071XCWZVY
